,Headlines,City,accented_city,latitude,longitude,countrycode,pop
289,Zika case reported in Rizal,Rizal,Rizal,15.7118,121.1061,PH,26201.0
290,Zika Spreads to Palm Beach Gardens,Palm Beach Gardens,Palm Beach Gardens,26.82339,-80.13865,US,52923.0
291,More people in Saint Petersburg are infected with Varicella every year,Saint Petersburg,Saint Petersburg,59.93863,30.31413,RU,5351935.0
292,Spike of Herpes Cases in Meriden,Meriden,Meriden,41.53815,-72.80704,US,59988.0
293,Zika case reported in Abilene,Abilene,Abilene,32.44874,-99.73314,US,125182.0
294,Outbreak of Zika in Palm Springs,Palm Springs,Palm Springs,33.8303,-116.54529,US,47371.0
295,Halifax is infested with Swine Flu,Halifax,Halifax,44.64269,-63.57688,CA,439819.0
296,Zika arrives in Natal,Natal,Natal,-5.795,-35.20944,BR,896708.0
297,Herpes Keeps Spreading in Rochester,Rochester,Rochester,43.15478,-77.61556,US,209802.0
298,Zika case reported in Phetchabun,Phetchabun,Phetchabun,16.41904,101.16056,TH,50656.0
299,How to Avoid Pneumonia in Bullhead City,Bullhead City,Bullhead City,35.14778,-114.5683,US,39445.0
300,West Nile Virus re-emerges in Wellington,Wellington,Wellington,-41.28664,174.77557,NZ,381900.0
301,Rumors about Pneumonia spreading in Ottawa have been refuted,Ottawa,Ottawa,45.41117,-75.69812,CA,812129.0
302,Meningitis re-emerges in Summerville,Summerville,Summerville,33.0185,-80.17565,US,48848.0
303,Pneumonia Symptoms Spread all over Bloomington,Bloomington,Bloomington,44.8408,-93.29828,US,86435.0
304,More Patients in Stuttgart are Getting Diagnosed with Rabies,Stuttgart,Stuttgart,48.78232,9.17702,DE,630305.0
305,Schools in Glasgow Closed Due to Hepatitis B Outbreak,Glasgow,Glasgow,55.86515,-4.25763,GB,626410.0
306,Phoenix Residents Recieve Syphilis vaccine,Phoenix,Phoenix,33.44838,-112.07404,US,1608139.0
308,Spanish flu spreading in Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0
309,Rabies Hits Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0
310,Zika Outbreak in Weslaco,Weslaco,Weslaco,26.15952,-97.99084,US,39474.0
311,How to Avoid Chlamydia in Santiago,Santiago,Santiago,-33.45694,-70.64827,CL,4837295.0
312,Rotavirus Vaccine is now Required in Las Cumbres,Las Cumbres,Las Cumbres,9.09211,-79.53895,PA,69102.0
314,Mad Cow Outbreak Spreading in Ennis,Ennis,Ennis,52.84361,-8.98639,IE,25276.0
315,Southampton Patient in Critical Condition after Contracting Tuberculosis,Southampton,Southampton,50.90395,-1.40428,GB,269781.0
316,The Spread of Rhinovirus in Boardman has been Confirmed,Boardman,Boardman,41.02423,-80.66285,US,35376.0
317,Richland Center is infested with Hepatitis B,Richland,Richland,46.28569,-119.28446,US,54248.0
318,Authorities are Worried about the Spread of Chickenpox in Richmond,Richmond,Richmond,37.55376,-77.46026,US,226610.0
319,Chikungunya re-emerges in Kobe,Kobe,Kobe,34.6913,135.183,JP,1522188.0
320,Malaria Vaccine is now Required in Schenectady,Schenectady,Schenectady,42.81424,-73.93957,US,65305.0
321,Hepatitis D has Arrived in Grenoble,Grenoble,Grenoble,45.17869,5.71479,FR,158552.0
322,West Nile Virus Symptoms Spread all over Yerevan,Yerevan,Yerevan,40.18111,44.51361,AM,1093485.0
323,Zika Outbreak in Sincelejo,Sincelejo,Sincelejo,9.30472,-75.39778,CO,277773.0
324,Rumors about HIV spreading in Montpellier have been refuted,Montpellier,Montpellier,43.61093,3.87635,FR,248252.0
325,Praia tests new cure for Pneumonia,Praia,Praia,14.93152,-23.51254,CV,113364.0
327,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,Lakewood,Lakewood,39.70471,-105.08137,US,152597.0
328,Zika spreads to Kuching,Kuching,Kuching,1.55,110.33333,MY,402738.0
329,Spike of Rotavirus Cases in Omaha,Omaha,Omaha,41.25626,-95.94043,US,486051.0
330,Tuberculosis re-emerges in Silver Springs,Springs,Springs,-26.25,28.4,ZA,186394.0
331,Will West Nile Virus vaccine help Coronado?,Coronado,Coronado,32.68589,-117.18309,US,24812.0
332,Zika case confirmed in Lorain,Lorain,Lorain,41.45282,-82.18237,US,63647.0
333,Chickenpox Hits Simpsonville,Simpsonville,Simpsonville,34.73706,-82.25428,US,20736.0
334,Framingham Residents Receive Measles vaccine,Framingham,Framingham,42.27926,-71.41617,US,68318.0
335,Rumors about Mad Cow Disease Brighton have been Refuted,Brighton,Brighton,50.82838,-0.13947,GB,277103.0
336,Zika case reported in Jacobina,Jacobina,Jacobina,-11.18143,-40.51372,BR,47637.0
337,Bridgeport authorities confirmed the spread of West Nile Virus,Bridgeport,Bridgeport,41.17923,-73.18945,US,147629.0
339,Measles Vaccine is now Required in Wailuku,Wailuku,Wailuku,20.89133,-156.50604,US,15313.0
340,Zika symptoms spotted in Surat,Surat,Surat,21.19594,72.83023,IN,4591246.0
342,More contaminated cattle reported in Bedford,Bedford,Bedford,52.13459,-0.46632,GB,106940.0
343,Zika in Tamarac!,Tamarac,Tamarac,26.21286,-80.24977,US,64681.0
344,Will Measles vaccine help Milford?,Milford,Milford,41.22232,-73.0565,US,52759.0
345,Spike of Norovirus Cases in Huddersfield,Huddersfield,Huddersfield,53.64904,-1.78416,GB,149017.0
346,Rhinovirus Hits Bakersfield,Bakersfield,Bakersfield,35.37329,-119.01871,US,373640.0
347,Lower Hospitalization in Papeete after Measles Vaccine becomes Mandatory,Papeete,Papeete,-17.5347,-149.56843,PF,26357.0
348,Zika arrives in Udon Thani,Udon Thani,Udon Thani,17.41567,102.78589,TH,130531.0
349,Spike of Dengue Cases in Stockholm,Stockholm,Stockholm,59.32938,18.06871,SE,1515017.0
350,More people in Berkeley are infected with Swine Flu every year,Berkeley,Berkeley,37.87159,-122.27275,US,120972.0
352,Zika only the latest mosquito-borne threat to New Orleans,New Orleans,New Orleans,29.95465,-90.07507,US,389617.0
353,Will Swine Flu vaccine help Annapolis?,Annapolis,Annapolis,38.97859,-76.49184,US,39474.0
354,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,Monroe,Monroe,32.50931,-92.1193,US,49598.0
355,New medicine wipes out Dengue in Saginaw,Saginaw,Saginaw,43.41947,-83.95081,US,49347.0
356,Spike of Rhinovirus Cases in Sevierville,Sevierville,Sevierville,35.86815,-83.56184,US,16490.0
357,Duisburg up in Arms over Mad Cow Disease,Duisburg,Duisburg,51.43247,6.76516,DE,504358.0
358,New medicine wipes out Mumps in Saint Charles,Saint Charles,Saint Charles,38.78394,-90.48123,US,65794.0
359,Case of Chikungunya Reported in Gaithersburg,Gaithersburg,Gaithersburg,39.14344,-77.20137,US,67456.0
360,How to Avoid Respiratory Syncytial Virus in San Bernardino,San Bernardino,San Bernardino,34.10834,-117.28977,US,216108.0
361,Laventille authorities confirmed the spread of Rhinovirus,Laventille,Laventille,10.64917,-61.49889,TT,21000.0
362,More Zika patients reported in Waco,Waco,Waco,31.54933,-97.14667,US,132356.0
363,Will Herpes vaccine help Newcastle?,Newcastle,Newcastle,-27.75796,29.9318,ZA,404838.0
364,Erie County sets Zika traps,Erie,Erie,42.12922,-80.08506,US,99475.0
366,How to Avoid Norovirus in Greenville,Greenville,Greenville,35.61266,-77.36635,US,90597.0
367,More Zika patients reported in Calumpang,Calumpang,Calumpang,14.6228,121.0897,PH,15602.0
368,Zika symptoms spotted in Quisqueya,Quisqueya,Quisqueya,18.55542,-69.40814,DO,17694.0
369,Rumors about Hepatitis D Spreading in Montreal have been Refuted,Montreal,Montréal,45.50884,-73.58781,CA,1762949.0
370,Zika symptoms spotted in Fortaleza,Fortaleza,Fortaleza,-3.71722,-38.54306,BR,2400000.0
371,Rumors about Bronchitis spreading in Bundaberg have been refuted,Bundaberg,Bundaberg,-24.86621,152.3479,AU,50148.0
372,Hepatitis A re-emerges in Stamford,Stamford,Stamford,41.05343,-73.53873,US,128874.0
373,Schools in Huntington Closed Due to Rotavirus Outbreak,Huntington,Huntington,38.41925,-82.44515,US,48638.0
374,Will Mad Cow Vaccine Help Bristol?,Bristol,Bristol,51.45523,-2.59665,GB,465866.0
375,Chickenpox Comes to Stillwater,Stillwater,Stillwater,36.11561,-97.05837,US,48967.0
376,The Spread of Meningitis in Imperial has been Confirmed,Imperial,Imperial,-13.05927,-76.35269,PE,32344.0
379,Case of Measles Reported in Springdale,Springdale,Springdale,36.18674,-94.12881,US,77859.0
380,Norwalk Encounters Severe Symptoms of Malaria,Norwalk,Norwalk,33.90224,-118.08173,US,107140.0
381,Zika arrives in Orange City,Orange,Orange,33.78779,-117.85311,US,140992.0
382,Pilsen Encounters Severe Symptoms of Malaria,Pilsen,Pilsen,49.74747,13.37759,CZ,168733.0
383,Will Hepatitis B vaccine help La Paz?,La Paz,La Paz,-16.5,-68.15,BO,2004652.0
384,Zika Outbreak in Puducherry,Puducherry,Puducherry,11.93381,79.82979,IN,657209.0
385,More Zika patients reported in Carrollton,Carrollton,Carrollton,32.95373,-96.89028,US,133168.0
386,Will Rabies vaccine help Tangier?,Tangier,Tangier,35.76727,-5.79975,MA,688356.0
387,Zika symptoms spotted in Iquitos,Iquitos,Iquitos,-3.74912,-73.25383,PE,377609.0
388,West Nile Virus Exposure in Racine,Racine,Racine,42.72613,-87.78285,US,77742.0
389,The Spread of Hepatitis E in Lansing has been Confirmed,Lansing,Lansing,42.73253,-84.55553,US,115056.0
390,West Nile Virus Exposure in Alpharetta,Alpharetta,Alpharetta,34.07538,-84.29409,US,63693.0
391,Pedro Juan Caballero Encounters Severe Symptoms of Pneumonia,Pedro Juan Caballero,Pedro Juan Caballero,-22.54722,-55.73333,PY,75109.0
392,More Zika patients reported in Melbourne,Melbourne,Melbourne,-37.814,144.96332,AU,4917750.0
393,Zika Troubles come to La Libertad,La Libertad,La Libertad,-2.233,-80.91039,EC,75881.0
394,Herpes Vaccine is now Required in Mattoon,Mattoon,Mattoon,39.48309,-88.37283,US,18113.0
395,Kent is infested with Rabies,Kent,Kent,47.38093,-122.23484,US,126952.0
396,Zika symptoms spotted in Bonita Springs,Bonita Springs,Bonita Springs,26.33981,-81.7787,US,51704.0
397,The Spread of Malaria in Brazzaville has been Confirmed,Brazzaville,Brazzaville,-4.26613,15.28318,CG,1284609.0
398,More Zika patients reported in Fort Myers,Fort Myers,Fort Myers,26.62168,-81.84059,US,74013.0
399,Zika spreads to Lewisville,Lewisville,Lewisville,33.04623,-96.99417,US,104039.0
400,Ogden is infested with Gonorrhea,Ogden,Ogden,41.223,-111.97383,US,85444.0
401,Fort Hood Reports its First Zika Patient,Fort Hood,Fort Hood,31.13489,-97.77561,US,29589.0
402,Huzhou Residents Receive Hepatitis B vaccine,Huzhou,Huzhou,30.8703,120.0933,CN,1015937.0
403,New medicine wipes out Rabies in Newburgh,Newburgh,Newburgh,41.50343,-74.01042,US,28290.0
404,Iowa City Encounters Severe Symptoms of Rhinovirus,Iowa City,Iowa City,41.66113,-91.53017,US,74220.0
405,Spike of Rabies Cases in Managua,Managua,Managua,12.13282,-86.2504,NI,973087.0
406,Outbreak of Zika in Santa Elena,Santa Elena,Santa Elena,-2.22622,-80.85873,EC,42214.0
407,Mumps Hits Howard Beach,Howard Beach,Howard Beach,40.65788,-73.83625,US,26148.0
408,The Spread of Gonorrhea in Reno has been Confirmed,Reno,Reno,39.52963,-119.8138,US,241445.0
409,How to Avoid Rhinovirus in Plainfield,Plainfield,Plainfield,40.63371,-74.40737,US,51217.0
410,Rumors about Varicella spreading in Carlsbad have been refuted,Carlsbad,Carlsbad,33.15809,-117.35059,US,114746.0
411,Scranton authorities confirmed the spread of Gonorrhea,Scranton,Scranton,41.40916,-75.6649,US,77118.0
412,Mad Cow Disease Disastrous to Brussels,Brussels,Brussels,50.85045,4.34878,BE,1019022.0
413,Zika spreads to Olinda,Olinda,Olinda,-8.00889,-34.85528,BR,366754.0
414,Hallandale Beach a Victim of Zika Outbreak,Hallandale Beach,Hallandale Beach,25.9812,-80.14838,US,39488.0
415,Rhinovirus re-emerges in Storrs,Storrs,Storrs,41.80843,-72.24952,US,15344.0
416,Germantown authorities confirmed the spread of Chickenpox,Germantown,Germantown,39.17316,-77.27165,US,86395.0
417,Rumors about Rotavirus spreading in North Platte have been refuted,North Platte,North Platte,41.12389,-100.76542,US,24194.0
418,Spike of Hepatitis C Cases in Golden,Golden,Golden,39.75554,-105.2211,US,20330.0
419,Authorities are Worried about the Spread of Hepatitis D in Ganja,Ganja,Ganja,40.68278,46.36056,AZ,335600.0
420,Dengue Exposure in Kathmandu,Kathmandu,Kathmandu,27.70169,85.3206,NP,1442271.0
421,Tuberculosis has Arrived in Fairfield,Fairfield,Fairfield,38.24936,-122.03997,US,112970.0
422,Outbreak of Zika in Kozhikode,Kozhikode,Kozhikode,11.24802,75.7804,IN,550440.0
423,Bronchitis Symptoms Spread all over Santa Fe,Santa Fe,Santa Fe,-31.64881,-60.70868,AR,391164.0
424,More Patients in Alexandria are Getting Diagnosed with Mumps,Alexandria,Alexandria,31.20176,29.91582,EG,5263542.0
425,Pneumonia Exposure in Alhambra,Alhambra,Alhambra,33.49838,-112.13432,US,127764.0
426,Hepatitis C re-emerges in Damascus,Damascus,Damascus,33.5102,36.29128,SY,1569394.0
427,Lower Hospitalization in Pekanbaru after Rotavirus Vaccine becomes Mandatory,Pekanbaru,Pekanbaru,0.51667,101.44167,ID,1085000.0
429,Schools in Bentonville Closed Due to Hepatitis B Outbreak,Bentonville,Bentonville,36.37285,-94.20882,US,44499.0
430,Hepatitis E Hits Hammond,Hammond,Hammond,41.58337,-87.50004,US,77614.0
431,Schools in Bridgeton Closed Due to Mumps Outbreak,Bridgeton,Bridgeton,39.42734,-75.23408,US,25031.0
432,Biloxi Residents Recieve Chlamydia vaccine,Biloxi,Biloxi,30.39603,-88.88531,US,45637.0
433,Case of Mad Cow Disease Reported in Hilden,Hilden,Hilden,51.16818,6.93093,DE,56565.0
434,Rumors about Rabies Spreading in Khartoum have been Refuted,Khartoum,Khartoum,15.55177,32.53241,SD,1974647.0
435,Harare is infested with Pneumonia,Harare,Harare,-17.82772,31.05337,ZW,1542813.0
436,Zika symptoms spotted in Sibu,Sibu,Sibu,2.3,111.81667,MY,198239.0
437,Zika arrives in Quezon,Quezon,Quezon,7.73028,125.09889,PH,27212.0
438,More Patients in Crawfordsville are Getting Diagnosed with Rabies,Crawfordsville,Crawfordsville,40.04115,-86.87445,US,16024.0
439,Spike of Hepatitis B Cases in Greenville,Greenville,Greenville,35.61266,-77.36635,US,90597.0
440,Authorities are Worried about the Spread of Hepatitis D in Akron,Akron,Akron,41.08144,-81.51901,US,197542.0
441,More Zika patients reported in Nuevo Laredo,Nuevo Laredo,Nuevo Laredo,27.47629,-99.51639,MX,373725.0
442,Bronchitis Keeps Spreading in San Mateo,San Mateo,San Mateo,14.6982,121.1236,PH,134327.0
443,Zika arrives in Boca Raton,Boca Raton,Boca Raton,26.35869,-80.0831,US,93235.0
444,Bradenton Experiences Zika Troubles,Bradenton,Bradenton,27.49893,-82.57482,US,54437.0
445,Chlamydia Symptoms Spread all over University City,University City,University City,38.65588,-90.30928,US,35058.0
446,Wisconsin Rapids Patient in Critical Condition after Contracting Chickenpox,Wisconsin Rapids,Wisconsin Rapids,44.38358,-89.81735,US,17897.0
447,Zika spreads to Kissimmee,Kissimmee,Kissimmee,28.30468,-81.41667,US,69152.0
448,Herpes Symptoms Spread all over Fremont,Fremont,Fremont,37.54827,-121.98857,US,232206.0
449,Spike of Pneumonia Cases in The Bronx,The Bronx,The Bronx,40.84985,-73.86641,US,1385108.0
450,Authorities are Worried about the Spread of Hepatitis D in North Bay,North Bay,North Bay,46.3168,-79.46633,CA,50396.0
451,The Spread of Herpes in Baku has been Confirmed,Baku,Baku,40.37767,49.89201,AZ,1116513.0
452,Will Measles vaccine help Sochi?,Sochi,Sochi,43.59917,39.72569,RU,327608.0
453,Tuberculosis Symptoms Spread all over Caguas,Caguas,Caguas,18.23412,-66.0485,PR,86804.0
454,HIV has Arrived in Tacoma,Tacoma,Tacoma,47.25288,-122.44429,US,207948.0
455,Malaria re-emerges in Nashua,Nashua,Nashua,42.76537,-71.46757,US,87970.0
456,Arvada is infested with Syphilis,Arvada,Arvada,39.80276,-105.08748,US,115368.0
457,Spike of Syphilis Cases in West Monroe,Monroe,Monroe,32.50931,-92.1193,US,49598.0
458,More Zika patients reported in Ribeirao Preto,Ribeirao Preto,Ribeirão Preto,-21.1775,-47.81028,BR,711825.0
460,Deerfield tests new cure for Measles,Deerfield,Deerfield,42.17114,-87.84451,US,19019.0
461,Contaminated Meat Brings Trouble for Bonn Farmers,Bonn,Bonn,50.73438,7.09549,DE,330579.0
463,Hepatitis A re-emerges in Foster City,Foster City,Foster City,37.55855,-122.27108,US,33477.0
464,How to Avoid Tuberculosis in Santa Monica,Santa Monica,Santa Monica,34.01949,-118.49138,US,93220.0
465,Zika reported in Fort Pierce,Fort Pierce,Fort Pierce,27.44671,-80.32561,US,44484.0
466,Authorities are Worried about the Spread of Syphilis in Pyongyang,Pyongyang,Pyongyang,39.03385,125.75432,KP,3222000.0
467,Zika spreads to Winter Park,Winter Park,Winter Park,28.6,-81.33924,US,29943.0
468,Durango is infested with Hepatitis B,Durango,Durango,43.17124,-2.6338,ES,28229.0
469,Hepatitis A has not Left Staten Island,Staten Island,Staten Island,40.56233,-74.13986,US,468730.0
470,Mpika authorities confirmed the spread of Chikungunya,Mpika,Mpika,-11.83431,31.45287,ZM,28445.0
471,Gladstone Encounters Severe Symptoms of Dengue,Gladstone,Gladstone,-23.84852,151.25775,AU,30489.0
472,Mad Cow Disease Hits London,London,London,51.50853,-0.12574,GB,8961989.0
473,New Milford Patient in Critical Condition after Contracting Respiratory Syncyti,New Milford,New Milford,40.9351,-74.01903,US,16801.0
474,More people in Palo Alto are infected with HIV every year,Palo Alto,Palo Alto,37.44188,-122.14302,US,66853.0
475,HIV Symptoms Spread all over Hinthada,Hinthada,Hinthada,17.64944,95.45705,MM,134947.0
476,Zika symptoms spotted in Quito,Quito,Quito,-0.22985,-78.52495,EC,2781641.0
477,Vineland authorities confirmed the spread of Chlamydia,Vineland,Vineland,39.48623,-75.02573,US,60818.0
478,"Sulu, Zamboanga brace for Zika",Zamboanga,Zamboanga,6.91028,122.07389,PH,457623.0
479,More Zika patients reported in Custodia,Custodia,Custódia,-8.0875,-37.64306,BR,18107.0
480,Tupelo Residents Recieve Syphilis vaccine,Tupelo,Tupelo,34.25807,-88.70464,US,35680.0
482,Spanish Flu Outbreak in Lisbon,Lisbon,Lisbon,38.71667,-9.13333,PT,517802.0
483,Spanish Flu Spreading through Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0
484,Barcelona Struck by Spanish Flu,Barcelona,Barcelona,41.38879,2.15899,ES,1620343.0
485,The Spread of Dengue in Yakima has been Confirmed,Yakima,Yakima,46.60207,-120.5059,US,93701.0
486,Tuberculosis Hits Luanda,Luanda,Luanda,-8.83682,13.23432,AO,2776168.0
487,Will West Nile Virus vaccine help Dumai?,Dumai,Dumai,1.66711,101.44316,ID,143760.0
488,Rumors about Chlamydia spreading in Redmond have been refuted,Redmond,Redmond,47.67399,-122.12151,US,60598.0
489,Case of Varicella Reported in Concord,Concord,Concord,37.97798,-122.03107,US,128667.0
490,Zika virus case reported in Rockland,Rockland,Rockland,42.13066,-70.91616,US,17982.0
491,Zika investigators coming to Mankato,Mankato,Mankato,44.15906,-94.00915,US,41044.0
492,Toms River Encounters Severe Symptoms of Respiratory Syncytial Virus,Toms River,Toms River,39.95373,-74.19792,US,88791.0
493,The Spread of Malaria in Zanzibar has been Confirmed,Zanzibar,Zanzibar,-6.16394,39.19793,TZ,403658.0
494,Malaria Outbreak Hits Zanzibar's Tourist Industry,Zanzibar,Zanzibar,-6.16394,39.19793,TZ,403658.0
495,Tourist Perishes from Malaria in Arusha,Arusha,Arusha,-3.36667,36.68333,TZ,341136.0
496,Herpes Symptoms Spread all over New Kingston,New Kingston,New Kingston,18.00747,-76.78319,JM,583958.0
497,More people in Yokohama are infected with Norovirus every year,Yokohama,Yokohama,35.43333,139.65,JP,3761630.0
498,More people in Kitwe are infected with Respiratory Syncytial Virus every year,Kitwe,Kitwe,-12.80243,28.21323,ZM,400914.0
499,Hepatitis D Keeps Spreading in Bismarck,Bismarck,Bismarck,46.80833,-100.78374,US,71167.0
500,Varicella Outbreak in Minot,Minot,Minot,48.23251,-101.29627,US,49450.0
501,Malaria has Arrived in Terrebonne,Terrebonne,Terrebonne,45.70004,-73.64732,CA,111575.0
502,Chikungunya Keeps Spreading in North Vancouver,North Vancouver,North Vancouver,49.31636,-123.06934,CA,48000.0
503,Authorities are Worried about the Spread of Chickenpox in Hemet,Hemet,Hemet,33.74761,-116.97307,US,83861.0
506,Rumors about Hepatitis C spreading in Darien have been refuted,Darien,Darien,41.75198,-87.97395,US,22256.0
507,The Spread of West Nile Virus in Fairfield has been Confirmed,Fairfield,Fairfield,38.24936,-122.03997,US,112970.0
508,Princeton Encounters Severe Symptoms of Dengue,Princeton,Princeton,25.53844,-80.40894,US,39308.0
509,Norovirus Keeps Spreading in Copenhagen,Copenhagen,Copenhagen,55.67594,12.56553,DK,1153615.0
510,Wuhan is infested with Varicella,Wuhan,Wuhan,30.58333,114.26667,CN,10392693.0
511,Zika spreads to San Luis Potosi,San Luis Potosi,San Luis Potosí,22.14982,-100.97916,MX,722772.0
513,Spike of Norovirus Cases in Canberra,Canberra,Canberra,-35.28346,149.12807,AU,367752.0
514,Zika Troubles come to Greater Noida,Greater Noida,Greater Noida,28.49615,77.53601,IN,293908.0
515,Lower Hospitalization in Palm Springs after Hepatitis A Vaccine becomes Mandato,Palm Springs,Palm Springs,33.8303,-116.54529,US,47371.0
517,Outbreak of Zika in Leesburg,Leesburg,Leesburg,39.11566,-77.5636,US,51209.0
518,Authorities are Worried about the Spread of Tuberculosis in Cantu,Cantu,Cantù,45.74096,9.13084,IT,39917.0
520,New medicine wipes out HIV in Kihei,Kihei,Kīhei,20.76462,-156.44578,US,20881.0
521,Sangre Grande Residents Recieve Gonorrhea vaccine,Sangre Grande,Sangre Grande,10.58705,-61.13008,TT,15968.0
522,Outbreak of Zika in Colombo,Colombo,Colombo,6.93548,79.84868,LK,648034.0
523,Will Rotavirus vaccine help Addis Ababa?,Addis Ababa,Addis Ababa,9.02497,38.74689,ET,2757729.0
524,Stony Brook University experts discuss Zika virus,University,University,28.07389,-82.43902,US,41163.0
525,Lower Hospitalization in Janesville after Varicella Vaccine becomes Mandatory,Janesville,Janesville,42.68279,-89.01872,US,64123.0
526,Rabies Outbreak in Altus,Altus,Altus,34.63813,-99.33398,US,19214.0
527,Miami resident suggests Zika precautions,Miami,Miami,25.77427,-80.19366,US,441003.0
528,Zika Troubles come to Jaen,Jaen,Jaen,15.3275,120.9192,PH,39700.0
529,Hepatitis B Exposure in Edinburgh,Edinburgh,Edinburgh,55.95206,-3.19648,GB,506520.0
530,Zika case reported in Reynosa,Reynosa,Reynosa,26.08061,-98.28835,MX,589466.0
531,Schools in Tulare Closed Due to Mumps Outbreak,Tulare,Tulare,36.20773,-119.34734,US,62315.0
532,More Zika patients reported in Chennai,Chennai,Chennai,13.08784,80.27847,IN,4681087.0
533,Hepatitis D Keeps Spreading in Danvers,Danvers,Danvers,42.57509,-70.93005,US,26493.0
534,Authorities a Miami,Miami,Miami,25.77427,-80.19366,US,441003.0
535,Zika case reported in Medellin,Medellin,Medellín,6.25184,-75.56359,CO,1999979.0
536,Spike of Tuberculosis Cases in Albuquerque,Albuquerque,Albuquerque,35.08449,-106.65114,US,559121.0
537,More people in Cranford are infected with Hepatitis A every year,Cranford,Cranford,40.65844,-74.29959,US,22627.0
538,West Nile Virus Hits Monroe,Monroe,Monroe,32.50931,-92.1193,US,49598.0
539,Pneumonia Outbreak in Springville,Springville,Springville,40.16523,-111.61075,US,32286.0
540,Zika arrives in San Onofre,San Onofre,San Onofre,9.73586,-75.52626,CO,32957.0
541,Lung Cancer Rates Increasing in Moscow,Moscow,Moscow,55.75222,37.61556,RU,10381222.0
542,Rumors about Rotavirus Spreading in Joliet have been Refuted,Joliet,Joliet,41.52519,-88.0834,US,147861.0
543,More Zika patients reported in Chanthaburi,Chanthaburi,Chanthaburi,12.60961,102.10447,TH,99819.0
544,Lawrenceville is infested with Dengue,Lawrenceville,Lawrenceville,33.95621,-83.98796,US,30493.0
545,Zika Reported in Ciudad Acuna,Ciudad Acuna,Ciudad Acuña,29.32322,-100.95217,MX,134233.0
546,Zika case reported in Limoeiro,Limoeiro,Limoeiro,-7.87472,-35.45028,BR,42328.0
547,Ibadan tests new cure for Malaria,Ibadan,Ibadan,7.37756,3.90591,NG,3649000.0
548,Gonorrhea has Arrived in Avon Lake,Avon Lake,Avon Lake,41.50532,-82.0282,US,23453.0
549,Pneumonia has not Left Kinshasa,Kinshasa,Kinshasa,-4.32758,15.31357,CD,7785965.0
550,Respiratory Syncytial Virus Hits Henderson,Henderson,Henderson,36.0397,-114.98194,US,285667.0
551,More Zika patients reported in Lakeland,Lakeland,Lakeland,28.03947,-81.9498,US,104401.0
552,Malaria Vaccine is now Required in Winona,Winona,Winona,44.04996,-91.63932,US,27094.0
553,More Patients in Canton are Getting Diagnosed with Norovirus,Canton,Canton,42.30865,-83.48216,US,86825.0
554,Ronkonkoma is infested with Chickenpox,Ronkonkoma,Ronkonkoma,40.81538,-73.11233,US,19082.0
555,Kedougou tests new cure for Hepatitis C,Kedougou,Kédougou,12.55561,-12.18076,SN,17922.0
556,Gonorrhea Exposure in Norwalk,Norwalk,Norwalk,33.90224,-118.08173,US,107140.0
557,How to Avoid Rhinovirus in Medford,Medford,Medford,42.32652,-122.87559,US,79805.0
558,Hepatitis D Symptoms Spread all over Evansville,Evansville,Evansville,37.97476,-87.55585,US,119943.0
559,New medicine wipes out Herpes in Bossier City,Bossier City,Bossier City,32.51599,-93.73212,US,68094.0
560,Pneumonia Exposure in San Jose,San Jose,San Jose,37.33939,-121.89496,US,1026908.0
561,Authorities are Worried about the Spread of Mad Cow Disease in Edinburgh,Edinburgh,Edinburgh,55.95206,-3.19648,GB,506520.0
562,Duluth Patient in Critical Condition after Contracting Rotavirus,Duluth,Duluth,46.78327,-92.10658,US,86110.0
564,Norfolk tests new cure for Herpes,Norfolk,Norfolk,36.84681,-76.28522,US,246393.0
565,More Zika patients reported in Botucatu,Botucatu,Botucatu,-22.88583,-48.445,BR,148130.0
566,Manassas Encounters Severe Symptoms of Measles,Manassas,Manassas,38.75095,-77.47527,US,41764.0
567,Fayetteville authorities confirmed the spread of HIV,Fayetteville,Fayetteville,35.05266,-78.87836,US,201963.0
568,Varicella Exposure in Cambridge,Cambridge,Cambridge,52.2,0.11667,GB,145674.0
569,Hepatitis A Vaccine is now Required in Fukushima,Fukushima,Fukushima,37.75,140.46667,JP,294237.0
570,Zika Outbreak in South Miami,Miami,Miami,25.77427,-80.19366,US,441003.0
571,Hepatitis D Symptoms Spread all over North Bethesda,North Bethesda,North Bethesda,39.04455,-77.11887,US,43828.0
572,Panama City's first Zika related death,Panama City,Panama City,30.15946,-85.65983,US,38286.0
573,West Nile Virus has Arrived in Dongguan,Dongguan,Dongguan,23.01797,113.74866,CN,9644871.0
574,Zika arrives in Belmopan,Belmopan,Belmopan,17.25,-88.76667,BZ,13381.0
575,Zika seminars in Yuma County,Yuma,Yuma,32.72532,-114.6244,US,94139.0
576,Rumors about Hepatitis E Spreading in Morristown have been Refuted,Morristown,Morristown,36.21398,-83.29489,US,29478.0
577,Mumps Outbreak in Joplin,Joplin,Joplin,37.08423,-94.51328,US,51818.0
579,Authorities are Worried about the Spread of Mumps in Corona,Corona,Corona,33.87529,-117.56644,US,164226.0
